rental_id,top_distances,top_tram_ids
17738399,"[455.2, 9276.41, 9591.97, 11426.38, 11908.25]","[16739, 18938, 18939, 19124, 19123]"
17739192,"[1253.21, 10296.1, 12660.31, 12726.46, 13455.91]","[16740, 16773, 16774, 16741, 16775]"
15672390,"[1418.78, 9965.9, 11389.1, 12330.1, 12396.25]","[16740, 16773, 19069, 16774, 16741]"
17720006,"[995.65, 9338.44, 9654.0, 11488.41, 11970.28]","[16740, 18938, 18939, 19124, 19123]"
17720759,"[686.33, 967.35, 2111.7, 2325.37, 2333.54]","[16773, 16772, 16741, 16742, 16774]"
17713646,"[1057.07, 1338.09, 2620.67, 2834.34, 3134.76]","[16773, 16772, 16741, 16742, 19028]"
17700366,"[1138.93, 1954.71, 2028.4, 2232.22, 2445.88]","[16773, 19068, 18941, 16741, 16742]"
17144898,"[311.05, 1777.09, 2149.81, 2244.09, 2447.91]","[16773, 18940, 19069, 18941, 16741]"
17747998,"[311.05, 1777.09, 2149.81, 2244.09, 2447.91]","[16773, 18940, 19069, 18941, 16741]"
17706032,"[1058.39, 1295.45, 1339.41, 2006.88, 2276.85]","[16773, 16771, 16772, 16742, 16743]"
17717253,"[444.85, 596.48, 1360.95, 2121.12, 2391.09]","[16771, 16772, 19067, 16742, 16743]"
