sa2_code,sa2_name,median_hh_income,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000,median_hh_income_2016,income_growth_rate,median_age
206031501,Essendon (West) - Aberfeldie,2195.0,4343,723,1728,0.1664747870135851,0.3978816486299792,,,40.0
206031502,Essendon - East,2055.0,3934,640,1518,0.1626842907981698,0.385866802236909,,,37.0
206041117,Carlton,1289.0,6032,2007,1495,0.3327254641909814,0.2478448275862069,561.0,1.2976827094474153,27.0
206041118,Docklands,1956.0,6124,1009,2402,0.1647615937295885,0.3922273024167211,1868.0,0.0471092077087794,32.0
206041119,East Melbourne,2345.0,1588,214,660,0.1347607052896725,0.4156171284634761,2285.0,0.0262582056892779,42.0
206041120,Flemington Racecourse,2178.0,22,0,13,0.0,0.5909090909090909,1792.0,0.2154017857142857,32.0
206041121,Kensington (Vic.),2216.0,3502,650,1482,0.1856082238720731,0.4231867504283266,1956.0,0.1329243353783231,35.0
206041124,Parkville,1885.0,1670,297,598,0.1778443113772455,0.3580838323353293,1610.0,0.170807453416149,26.0
206041125,South Yarra - West,2259.0,2102,309,876,0.1470028544243577,0.4167459562321599,2018.0,0.1194251734390485,39.0
206041127,West Melbourne - Industrial,0.0,0,0,0,,,,,0.0
206041503,Melbourne CBD - East,1511.0,4019,930,1146,0.2314008459815874,0.2851455585966658,,,30.0
206041504,Melbourne CBD - North,1089.0,8066,2771,1547,0.3435407884949169,0.191792710141334,,,26.0
206041505,Melbourne CBD - West,1446.0,7165,1580,2031,0.2205163991625959,0.2834612700628053,,,29.0
206041506,North Melbourne,1718.0,5540,1300,1832,0.2346570397111913,0.3306859205776173,,,31.0
206041507,Royal Botanic Gardens Victoria,7000.0,0,0,0,,,,,70.0
206041508,Southbank (West) - South Wharf,2054.0,2616,368,1074,0.1406727828746177,0.4105504587155963,,,33.0
206041509,Southbank - East,1880.0,7175,987,2789,0.1375609756097561,0.3887108013937282,,,31.0
206041510,West Melbourne - Residential,1784.0,2892,503,1016,0.1739280774550484,0.3513139695712309,,,31.0
206051128,Albert Park,2303.0,4796,817,1916,0.1703502919099249,0.3994995829858215,2185.0,0.0540045766590389,41.0
206051129,Elwood,2093.0,5243,818,2021,0.1560175472057982,0.3854663360671371,1893.0,0.1056524035921817,38.0
206051130,Port Melbourne,2347.0,4922,990,2062,0.201137748882568,0.4189353921170256,2190.0,0.0716894977168949,43.0
206051134,St Kilda East,1988.0,5872,973,2291,0.1657016348773842,0.3901566757493188,1636.0,0.2151589242053789,34.0
206051511,Port Melbourne Industrial,2407.0,559,48,287,0.0858676207513416,0.5134168157423972,,,32.0
206051512,South Melbourne,2103.0,4103,884,1558,0.2154521082135023,0.3797221545210821,,,39.0
206051513,St Kilda - Central,1788.0,5326,943,1884,0.1770559519339091,0.3537363875328577,,,35.0
206051514,St Kilda - West,1849.0,5555,1001,1999,0.1801980198019802,0.3598559855985598,,,38.0
206061135,Armadale,2207.0,2999,547,1127,0.1823941313771257,0.3757919306435478,2007.0,0.0996512207274539,38.0
206061136,Prahran - Windsor,2098.0,7241,1250,2888,0.1726280900428117,0.3988399392349123,1841.0,0.1395980445410103,34.0
206061138,Toorak,2538.0,3298,575,1307,0.1743480897513644,0.3963007883565797,2313.0,0.0972762645914396,47.0
206061515,South Yarra - North,2042.0,4885,670,2006,0.1371545547594677,0.4106448311156602,,,32.0
206061516,South Yarra - South,2001.0,3679,771,1316,0.2095678173416689,0.3577058983419407,,,35.0
206071139,Abbotsford,2197.0,3338,479,1488,0.1434991012582384,0.4457759137207909,2001.0,0.0979510244877561,33.0
206071140,Carlton North - Princes Hill,2355.0,2342,368,1007,0.157130657557643,0.4299743808710504,1991.0,0.1828227021597187,34.0
206071141,Collingwood,2130.0,3435,679,1471,0.1976710334788937,0.4282387190684134,1712.0,0.2441588785046729,33.0
206071142,Fitzroy,2194.0,3185,706,1242,0.2216640502354788,0.3899529042386185,1715.0,0.2793002915451895,35.0
206071143,Fitzroy North,2300.0,3786,768,1546,0.2028526148969889,0.4083465398837823,1920.0,0.1979166666666666,36.0
206071145,Clifton Hill - Alphington,2529.0,2561,389,1112,0.1518937914877001,0.4342053885201093,2193.0,0.1532147742818057,37.0
206071517,Richmond (South) - Cremorne,2577.0,5239,694,2511,0.1324680282496659,0.4792899408284023,,,33.0
206071518,Richmond - North,2009.0,5206,1057,2040,0.2030349596619285,0.3918555512869766,,,34.0
207011146,Ashburton (Vic.),2743.0,1685,353,680,0.2094955489614243,0.4035608308605341,2251.0,0.2185695246557085,41.0
207011147,Balwyn,2017.0,4336,946,1514,0.2181734317343173,0.349169741697417,1737.0,0.1611974668969487,43.0
207011148,Balwyn North,2350.0,4727,910,1913,0.1925111064099852,0.4046964247937381,1996.0,0.1773547094188376,42.0
207011149,Camberwell,2472.0,4835,846,1912,0.1749741468459152,0.3954498448810755,2212.0,0.1175406871609403,43.0
207011150,Glen Iris - East,2914.0,3550,556,1520,0.1566197183098591,0.428169014084507,2438.0,0.195242001640689,41.0
207011152,Hawthorn East,2228.0,4586,775,1789,0.1689925861317052,0.3901003052769298,1950.0,0.1425641025641025,36.0
207011154,Kew East,2485.0,1473,234,607,0.1588594704684317,0.4120841819416157,2152.0,0.1547397769516728,41.0
207011155,Surrey Hills (West) - Canterbury,2709.0,3478,663,1401,0.1906267970097757,0.4028177113283496,2341.0,0.1571977787270397,45.0
207011519,Hawthorn - North,2300.0,2706,433,1091,0.1600147819660014,0.4031781226903178,,,35.0
207011520,Hawthorn - South,2055.0,4021,673,1512,0.1673713006714747,0.3760258642128823,,,34.0
