sa2_code,sa2_name,cnt_0_14,cnt_15_34,cnt_35_64,cnt_65_plus,pct_0_14,pct_15_34,pct_35_64,pct_65_plus
205021085,Orbost,941,991,2700,2012,0.1401549002085195,0.14760202561811142,0.40214477211796246,0.29967232648197795
205021086,Paynesville,713,858,2417,2888,0.10213436470419711,0.12290502793296089,0.34622546913049707,0.4136943131356539
205031087,Foster,1366,1403,3705,2870,0.14455026455026454,0.14846560846560847,0.39206349206349206,0.3037037037037037
205031088,French Island,14,15,63,39,0.10687022900763359,0.11450381679389313,0.48091603053435117,0.29770992366412213
205031089,Korumburra,1720,2000,3912,2110,0.17483228298434642,0.20329335230737955,0.3976417971132344,0.21447448668428543
205031090,Leongatha,2099,2085,4343,2845,0.1825217391304348,0.18130434782608695,0.37765217391304345,0.24739130434782608
205031091,Phillip Island,2099,2191,5475,3884,0.15199131064446053,0.15865314989138304,0.39645184648805215,0.2812454742939899
205031092,Wilsons Promontory,0,0,3,0,0.0,0.0,1.0,0.0
205031093,Wonthaggi - Inverloch,4046,4610,10177,7640,0.15105469479186112,0.172111256300168,0.3799514653724099,0.2852342729139444
205041094,Churchill,2175,2681,4756,2271,0.18248175182481752,0.22493497776659116,0.39902676399026765,0.1905361188019129
205041095,Moe - Newborough,2796,3985,6287,3965,0.1618617575547065,0.23069352784531666,0.3639573926131759,0.22953571842074794
205041096,Morwell,2498,3407,5247,3088,0.17307559066029238,0.2360562599598143,0.36354188318436914,0.21395413288990509
205041098,Yallourn North - Glengarry,889,1109,1931,780,0.18878742832873222,0.23550647695901467,0.4100658313867063,0.16564026332554682
205041493,Traralgon - East,2105,3027,4349,2356,0.17535821392869044,0.25216594468510495,0.36229590136621126,0.1962679106964345
205041494,Traralgon - West,3201,4209,6211,3067,0.19035442435775451,0.25029733587059944,0.36935061845861084,0.1823858230256898
205051099,Alps - West,0,0,10,14,0.0,0.0,0.4166666666666667,0.5833333333333334
205051100,Longford - Loch Sport,665,857,2104,1279,0.13524506813097417,0.1742932682529998,0.42790319300386415,0.2601179581045353
205051101,Maffra,2727,3200,5441,3273,0.185057003257329,0.21715526601520088,0.36923181324647125,0.22210912052117263
205051102,Rosedale,770,1303,2032,808,0.1562817130099452,0.2644611325350112,0.4124213517353359,0.16399431702861783
205051103,Sale,2805,3561,5580,3145,0.18339326577312848,0.23282118339326577,0.36482510624387054,0.20562275253350767
205051104,Yarram,774,934,2230,1597,0.13809099018733273,0.16663693131132917,0.39785905441570024,0.2849241748438894
206011106,Brunswick East,1233,5612,4772,1072,0.09680458506712726,0.44060610818874146,0.37465651252257204,0.08416424589777813
206011107,Brunswick West,1827,5320,5418,1632,0.12766403465865417,0.3717420166305639,0.3785898958842848,0.11403815247012787
206011109,Pascoe Vale South,1889,2592,4382,1357,0.1819144838212635,0.24961479198767333,0.4219953775038521,0.13068181818181818
206011495,Brunswick - North,1406,5146,4847,1416,0.10906834225428594,0.39919323559072223,0.3759987588239857,0.10984407726320689
206011496,Brunswick - South,1214,5579,4842,1261,0.09351409644122631,0.4297488830688646,0.3729779694962255,0.09713449391465105
206011497,Coburg - East,1635,4096,5048,1670,0.13037237859819792,0.3266087233872897,0.4025197352683199,0.1331632246232358
206011498,Coburg - West,2406,3928,5695,1873,0.17141635793673413,0.2798518096323739,0.40574237674551156,0.13344257623254488
206021110,Alphington - Fairfield,1429,2548,3784,1162,0.15914912573783271,0.28377324869139103,0.4214277759215948,0.12941307495266732
206021112,Thornbury,2799,5691,7859,2385,0.14794650880067656,0.30080871081981075,0.4154025054178339,0.12606374544109097
206021499,Northcote - East,2310,4419,6251,1964,0.1533559051981677,0.29336785500896234,0.41499037376352654,0.1303857133373166
206021500,Northcote - West,1482,3300,4287,1161,0.14396735962696716,0.320575092286769,0.4164561880707208,0.1127841461045269
206031113,Ascot Vale,2680,4248,6356,1815,0.17652483203793967,0.2798050322750626,0.4186536688183375,0.1195494664734554
206031115,Flemington,1182,3469,3369,1003,0.13034847816497575,0.3825540361711513,0.37152624614027346,0.11060873400970446
206031116,Moonee Ponds,2250,4960,6496,2345,0.138751850024667,0.30587074494326594,0.4005920078934386,0.14461026147015293
206031501,Essendon (West) - Aberfeldie,2566,4206,6675,2380,0.16001496632576703,0.26228485906709903,0.41625093539536046,0.14841606385632328
206031502,Essendon - East,1698,3815,4849,1736,0.1393287929761221,0.3130384836300976,0.39788299007138755,0.1424468696151637
206041117,Carlton,888,10701,3700,1263,0.053346149225039045,0.6428571428571429,0.22227562177099602,0.07587408386399135
206041118,Docklands,1207,7847,5495,930,0.07792123950936088,0.5065848934796643,0.354744996772111,0.06003873466752744
206041119,East Melbourne,292,1506,2002,1033,0.059640522875817,0.3075980392156863,0.4089052287581699,0.21098856209150327
206041120,Flemington Racecourse,0,38,33,0,0.0,0.5352112676056338,0.4647887323943662,0.0
206041121,Kensington (Vic.),1561,3668,4434,1034,0.14533097476957452,0.3414952052881482,0.4128107252583558,0.09626664183967973
206041124,Parkville,492,4463,1599,668,0.06742496916541044,0.6116212141976155,0.21913114978758394,0.09154447033027271
206041125,South Yarra - West,562,2077,2323,1325,0.0874980538689086,0.3233691421454149,0.36166900202397634,0.2062898956873735
206041127,West Melbourne - Industrial,0,0,0,0,,,,
206041503,Melbourne CBD - East,439,5686,3088,599,0.04466829466829467,0.5785510785510786,0.3142043142043142,0.06094831094831095
206041504,Melbourne CBD - North,466,13161,2922,313,0.02762136210064608,0.7800960227609507,0.17319660956671212,0.01855254578863138
206041505,Melbourne CBD - West,527,10912,3816,387,0.03367627324429676,0.6972969518819094,0.2438494472490255,0.024730014697424755
206041506,North Melbourne,1765,7500,5112,1216,0.11298169248495711,0.480092177698118,0.32723082831903727,0.07783894507745487
206041507,Royal Botanic Gardens Victoria,0,0,0,0,,,,
206041508,Southbank (West) - South Wharf,477,3081,2366,526,0.0737362807234503,0.4762714484464369,0.36574431906013294,0.08131086721286133
206041509,Southbank - East,871,9611,4888,737,0.05404231556741329,0.5963268598374387,0.30328224855742386,0.04572811317242663
206041510,West Melbourne - Residential,563,4194,2360,319,0.07567204301075268,0.5637096774193548,0.3172043010752688,0.042876344086021506
206051128,Albert Park,2111,3994,6771,2857,0.13328703119080693,0.25217830534158353,0.42751610051774214,0.18038893799722186
206051129,Elwood,1948,4413,6863,1537,0.13154163008981026,0.2979944628266595,0.4634343980012155,0.10378823688297657
206051130,Port Melbourne,2295,3346,7736,2733,0.1417979610750695,0.20673463083101637,0.47797343219029964,0.16886005560704356
206051134,St Kilda East,1912,6038,6312,1486,0.12086731146090145,0.3816929009419053,0.3990138441115115,0.09393766989063784
206051511,Port Melbourne Industrial,165,989,697,42,0.08716323296354993,0.5224511357633386,0.3681986265187533,0.022187004754358162
206051512,South Melbourne,1348,3436,5029,1759,0.11531223267750214,0.29392643284858855,0.430196749358426,0.1504704875962361
206051513,St Kilda - Central,822,4917,5038,1061,0.06925604515965962,0.41427247451343835,0.42446709916589437,0.08939253517566771
206051514,St Kilda - West,1025,4832,6120,1747,0.07402325413446956,0.34895645266122627,0.44197299053946704,0.1261645121687008
206061135,Armadale,1190,2898,3465,1696,0.12743628185907047,0.3103448275862069,0.37106446776611696,0.18162347397729706
206061136,Prahran - Windsor,1524,8164,7016,2248,0.07976134401004867,0.42727796095671744,0.3671952687496729,0.11765321609881195
206061138,Toorak,1415,3398,4624,3323,0.10915683098048291,0.2621306796266296,0.35670755226413636,0.25634498187148036
206061515,South Yarra - North,586,5963,3702,912,0.05237286620788274,0.5329341317365269,0.330860666726249,0.08150862454196085
206061516,South Yarra - South,813,4140,3560,1337,0.08187311178247735,0.4169184290030212,0.35850956696878145,0.13464249748237664
206071139,Abbotsford,738,4130,3375,822,0.08106326889279437,0.4536467486818981,0.37071616871704743,0.09028998242530756
206071140,Carlton North - Princes Hill,900,3247,2780,1223,0.10980966325036604,0.3961688628599317,0.33918984870668617,0.14921913128355296
206071141,Collingwood,898,4196,3446,627,0.09769364664926022,0.4564838990426458,0.3748912097476066,0.06821148825065274
206071142,Fitzroy,1072,4058,4143,1101,0.10281987339343948,0.38921925954344905,0.3973719547285632,0.10560138116247841
206071143,Fitzroy North,1566,4449,4758,1904,0.12248728979272586,0.34798592100117326,0.37215486898709427,0.14892452092295658
206071145,Clifton Hill - Alphington,1503,2865,4059,1369,0.15260432531221443,0.2908924763935425,0.41212305817849526,0.1389988831353437
206071517,Richmond (South) - Cremorne,1754,7568,6535,1756,0.09913525122929973,0.427739784095405,0.3693551121912621,0.09924829028429322
206071518,Richmond - North,1273,5823,5153,1551,0.09188681969106395,0.42031182330012995,0.37195033925220156,0.1119532265049805
207011146,Ashburton (Vic.),1589,1728,3294,1222,0.1997736987679155,0.21724918280110636,0.414131254714609,0.15363339200402312
207011147,Balwyn,2586,3810,6238,3242,0.16019327262590596,0.23601561048132316,0.3864213591030168,0.20083008114972434
207011148,Balwyn North,3753,5144,8522,3431,0.17775777956709138,0.2436413584047743,0.40363756927011796,0.16250651257519064
207011149,Camberwell,3399,5239,8061,4083,0.16019417475728157,0.24691299839758696,0.3799132811763597,0.19243095484965594
207011150,Glen Iris - East,3183,3964,6914,2644,0.1890591589451176,0.23544784984556902,0.41066761701116655,0.15704442860536943
207011152,Hawthorn East,2297,5224,5818,2223,0.1464176440591535,0.3329933707292198,0.3708567057623661,0.14170066292707803
207011154,Kew East,1165,1547,2618,1080,0.18025684666563516,0.2393625251431224,0.4050750425498994,0.1671050595698592
207011155,Surrey Hills (West) - Canterbury,2545,3718,6275,3141,0.15968126490149329,0.233278955954323,0.393713138411344,0.19707617015936754
207011519,Hawthorn - North,1348,3513,3577,1413,0.13613411432033934,0.354776812765098,0.3612401535043426,0.1426984447586346
207011520,Hawthorn - South,1361,4755,4151,1592,0.11375794048813107,0.39744232698094284,0.3469575392845202,0.133065864259445
207011521,Kew - South,1739,3211,4317,2182,0.14974597433910272,0.2765004736071644,0.37173856884525963,0.18789287867045554
207011522,Kew - West,1992,3446,5169,2226,0.15306592899953897,0.26479176271707394,0.39718764407561086,0.1710465652374366
207021156,Bulleen,1633,2558,4383,2560,0.14452606425347375,0.22639171608106912,0.38791043455173024,0.2265687228958315
207021157,Doncaster,3483,6727,9238,5090,0.1404208998548621,0.27120625705531365,0.37243992904370266,0.20520883728430897
207021159,Templestowe,2620,3515,6579,3952,0.1545175748997405,0.20730125029488086,0.3880042462845011,0.23307383816937957
207021160,Templestowe Lower,2361,2845,5434,3268,0.1664903744446795,0.20062054862139483,0.38318877371130383,0.2304491925816233
207021424,Doncaster East - North,2596,3428,6189,3233,0.1658997955010225,0.21906952965235174,0.3955138036809816,0.20660787321063395
207021425,Doncaster East - South,3029,3318,6037,2883,0.19592496765847348,0.21461836998706338,0.3904915912031048,0.18648124191461837
207031161,Blackburn,3806,5452,8969,3532,0.17222498755599802,0.2467079958369157,0.4058554685732386,0.15982623648128874
207031162,Blackburn South,1902,2459,4265,2127,0.1739368998628258,0.2248742569730224,0.39003200731595794,0.19451303155006858
207031163,Box Hill,2819,8633,8030,3066,0.12344003152778386,0.378026886193458,0.3516223672111048,0.1342558129351491
207031164,Box Hill North,3096,4876,7193,2794,0.1708043694141013,0.26900584795321636,0.39683327816396335,0.1541432196844312
207031165,Burwood (Vic.),1488,4988,3824,1841,0.12069105361343174,0.4045745802579285,0.310163030253873,0.14932273501500526
207031166,Burwood East,1464,2932,3901,2272,0.13710432665293126,0.27458325529125305,0.3653305862521071,0.21277392770181683
207031167,Surrey Hills (East) - Mont Albert,1594,2542,4032,1837,0.15684345173669192,0.250122995178589,0.3967332480566762,0.1807537144543934
208011168,Beaumaris,2504,2573,5804,2970,0.17857652260733134,0.18349736128940236,0.4139209813150763,0.21181001283697048
208011169,Brighton (Vic.),3540,4462,9065,5247,0.1556043956043956,0.19613186813186814,0.3984615384615385,0.23063736263736265
208011170,Brighton East,3184,3231,6739,3012,0.19272441135524485,0.1955692754675867,0.4079050904908904,0.18231341928454695
208011171,Highett (West) - Cheltenham,2529,2714,5323,1725,0.2033612093920875,0.2182373753618527,0.42803152138951434,0.1387101962045674
208011172,Hampton,3202,3907,7887,3075,0.17593406593406594,0.21467032967032967,0.43335164835164836,0.16895604395604397
208011173,Sandringham - Black Rock,2723,3213,7283,3803,0.15694524495677234,0.18518731988472623,0.4197694524495677,0.21919308357348702
208021174,Bentleigh - McKinnon,4593,6015,10325,3627,0.18465063922167727,0.24181876658358126,0.415092064002573,0.145814907131945
208021176,Carnegie,2555,6198,6953,2617,0.13798131446778636,0.33471944699465356,0.3754927904088135,0.14132958902630016
208021177,Caulfield - North,3958,6885,7562,3606,0.17706003399838954,0.30799856848886104,0.3382839760221884,0.16131341146998301
208021178,Caulfield - South,3132,4240,6894,3494,0.17349878129847107,0.23487702193662752,0.38189674274318636,0.1935519610015511
208021179,Elsternwick,2025,3298,4669,1793,0.1700537453812563,0.27695666778636213,0.3920893516963386,0.15057104467584817
208021180,Hughesdale,1185,2229,3032,1026,0.15676676809101733,0.2948802751686731,0.40111125810292364,0.13573223971424792
208021181,Murrumbeena,1552,2657,3825,1271,0.16535265288727893,0.2830811847432346,0.40752184103984657,0.13541444704879607
208021182,Ormond - Glen Huntly,2001,4251,5156,1648,0.1523990860624524,0.3237623762376238,0.39268849961919267,0.1255140898705255
208021426,Bentleigh East - North,3543,3661,7061,2142,0.21371697430329353,0.220834841356014,0.42592592592592593,0.12920738327904452
208021427,Bentleigh East - South,2715,3032,5911,2224,0.19321093082835183,0.21576999715343012,0.4206518645032736,0.15826928551095928
208031183,Aspendale Gardens - Waterways,1605,1997,3871,1311,0.18162272264343102,0.22598166798687339,0.43804458526649315,0.14835351363584928
208031184,Braeside,0,3,16,0,0.0,0.15789473684210525,0.8421052631578947,0.0
208031185,Carrum - Patterson Lakes,2000,2493,5142,2315,0.1660164356271271,0.2069394870092139,0.42682825599734375,0.1921640242383996
208031186,Chelsea - Bonbeach,2594,3343,6297,2747,0.17080397708566536,0.22012247316784092,0.4146309343517482,0.1808783828274182
208031187,Chelsea Heights,1054,1127,2209,959,0.19591078066914497,0.20947955390334572,0.41059479553903344,0.17825278810408923
208031188,Highett (East) - Cheltenham ,4102,5661,9720,4179,0.17027812370278123,0.23499377334993773,0.40348692403486924,0.1734744707347447
208031189,Edithvale - Aspendale,2717,2931,5822,1979,0.2004722201726555,0.2162620821958238,0.42957278831255075,0.14601933151331808
208031190,Mentone,2077,3021,5520,2411,0.15733656541171123,0.22884629952276342,0.4181501401408984,0.18263767896371488
